"Horodateur","Quel est votre sexe ou genre actuel ? ( cochez toutes les réponses applicables)","Quel est votre âge ? ","Quel est votre niveau de diplôme ?","Avez-vous été directement confronté à l'épidémie de Covid (vous ou bien une personne de votre foyer infectée, précisez) ?","Si oui, à quel degré de gravité ? (Symptômes graves, hospitalisation...)","Est-ce qu’il a été difficile pour vous de vous adapter aux conditions imposées par le gouvernement (confinement, couvre-feu, télétravail, etc) ?","Vous sentez-vous différent depuis les mesures imposées par le gouvernement en rapport à l'épidémie (confinement, couvre feu) ?","Si oui, quels sont les symptômes que vous observez ?","Dans quelle mesure votre vie a-t-elle été affectée par les contraintes engendrées par l'épidémie ?","Comment évaluez-vous la gestion de cette épidémie par le gouvernement ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Avez vous le sentiment d’avoir bien été informé par les médias ?","Quel degré de gravité donneriez-vous à l'épidémie de Covid en France ? ","Dans combien de temps pensez-vous que l'épidémie sera derrière nous ? ","Porter le masque en présence d'autres personnes même à l'intérieur ","Porter le masque dans la rue et les lieux publics","Se laver les mains en rentrant chez soi","Se tenir au moins à 1 mètre des autres personnes","Se faire tester au moindre symptôme","Eviter les foules et autres rassemblements","Rester chez soi le plus souvent possible","Utiliser toutes les ressources du télétravail","Utiliser une solution hydroalcoolique en allant au supermarché","Saluer sans serrer la main et arrêter les embrassades","Allez-vous vous faire vacciner dès que ce sera possible ?  ","Conseillez-vous à vos proches, surtout les plus âgés, de se faire vacciner ? ","Est-ce qu'il vous semble important que les célébrités et/ou les personnalités politiques puissent se faire vacciner publiquement?","Est-ce que le fait que vos proches soient vaccinés vous inciterait à vous faire vacciner vous aussi ?","Pensez-vous être correctement informé.e des vaccins et des qualités/défauts des vaccins qui vous sont proposés ?","Comment évaluez-vous les risques d'effets secondaires graves des vaccins ?","Êtes-vous favorable à ce que les personnes qui se font vacciner puissent choisir le type de vaccin (Pfizer, Astra Zeneca, Sputnik V,...) ?","Comprenez-vous le caractère facultatif du vaccin en France ?","Êtes-vous favorable à un ""Passeport Santé"", qui permet aux personnes vaccinées d'accéder aux salles de sports, cinémas et autres salles de spectacle ?"," [Hommes politiques]"," [ Grands Laboratoires Pharmaceutiques]"," [La famille]"," [Les amis]"," [Le voisinage ]"," [Médecine généraliste]"," [La justice]"," [L'administration]"," [L'hôpital public]"," [La police]"," [L'enseignement]"," [Pharmacies]"," [Les grands médias]"," [Les réseaux sociaux]"," [Les distributeurs]"," [La science]"," [Les commerçants]"
"2021/03/17 2:55:31 PM UTC+2","Femme","20-29 ans","Master 2","Oui, membre de ma famille ","3","7","Oui","Déprime/baisse de morale;Baisse de productivité","8","5","8","0","4","0","5","2 ans (Pas avant 2023)","Souvent","Souvent","Systématiquement","Rarement","Rarement","Souvent","Rarement","Ça dépend des situations","Souvent","Systématiquement","1","5","Non","Non","Non","5","Oui","Oui","0","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/17 3:00:22 PM UTC+2","Femme","40-55 ans","Master 2","Non","","3","Oui","Anxiété","3","5","8","7","10","4","10","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","10","10","Non","Oui","Non","5","Oui","Non","10","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Aucune confiance","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée"
"2021/03/17 3:10:02 PM UTC+2","Homme","40-55 ans","Master 2","Non","","1","Oui","Anxiété","2","5","8","8","10","3","10","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","10","10","Non","Oui","Non","5","Oui","Non","10","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Aucune confiance","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée"
"2021/03/17 3:14:54 PM UTC+2","Homme","20-29 ans","Master 2","Non","","6","Non","Lassitude ","5","3","5","3","4","1","4","6 mois (Septembre 2021)","Ça dépend des situations","Systématiquement","Ça dépend des situations","Rarement","Ça dépend des situations","Ça dépend des situations","Souvent","Souvent","Ça dépend des situations","Souvent","3","3","Non","Non","Non","6","Oui","Oui","0","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/17 3:57:38 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Oui","2","8","Oui","Irrité, tendue ","5","6","3","6","8","5","7","6 mois (Septembre 2021)","Rarement","Systématiquement","Souvent","Souvent","Systématiquement","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","6","9","Non","Oui","Non","5","Oui","Non","3","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/17 4:13:11 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Oui, en mars dernier (il y a un an) mais à ce moment les tests n'existaient pas donc nous supposons juste","3","7","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","8","3","4","4","4","8","3","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Souvent","Souvent","Souvent","Souvent","Rarement","Systématiquement","7","10","Oui","Oui","Non","7","Oui","Oui","4","Aucune confiance","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/17 4:18:43 PM UTC+2","Femme","56- 65 ans","Maîtrise, Master 1","non","","9","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité;sentiment d'impuissance organisé par la puissance publique","7","1","1","1","5","5","8","2 ans (Pas avant 2023)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Jamais","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","8","8","Non","Non","Non","4","Oui","Oui","0","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/17 5:19:16 PM UTC+2","Homme","20-29 ans","Master 2","Un collègue dans le même open space","4","6","Oui","Déprime/baisse de morale","8","4","5","4","7","5","6","6 mois (Septembre 2021)","Souvent","Systématiquement","Systématiquement","Souvent","Rarement","Ça dépend des situations","Rarement","Souvent","Souvent","Systématiquement","8","8","Non","Oui","Oui","4","Oui","Non","8","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/17 6:10:05 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Non","","8","Non","","10","7","3","4","5","10","8","1 an (Pas avant 2022)","Souvent","Systématiquement","Systématiquement","Souvent","","Rarement","Souvent","Systématiquement","Systématiquement","Systématiquement","9","10","Oui","Oui","Non","5","Oui","Oui","5","Faible confiance","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée"
"2021/03/17 6:20:26 PM UTC+2","Femme","40-55 ans","DEUG, BTS, DUT, DEUST","Non","","5","Non","","5","1","0","1","2","1","9","1 an (Pas avant 2022)","Systématiquement","Souvent","Systématiquement","Systématiquement","Jamais","Rarement","Rarement","Jamais","Systématiquement","Systématiquement","2","9","Oui","Oui","Non","6","Oui","Oui","5","Faible confiance","Faible confiance","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Confiance absolue"
"2021/03/17 6:37:09 PM UTC+2","Homme","30-39 ans","Master 2","Non","","8","Non","","10","7","10","6","8","5","7","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","5","10","Non","Non","Non","5","Oui","Non","3","Confiance modérée","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/17 7:25:14 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non mais des proches ont déjà été cas contacts ","","8","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","5","2","3","1","8","7","3","2 ans (Pas avant 2023)","Jamais","Systématiquement","Ça dépend des situations","Jamais","Jamais","Rarement","Souvent","Jamais","Souvent","Souvent","4","8","Non","Oui","Non","9","Oui","Oui","4","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance"
"2021/03/17 7:39:44 PM UTC+2","Homme","30-39 ans","Master 2","Non","","8","Non","","10","7","10","6","8","5","7","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","5","10","Non","Non","Non","5","Oui","Non","3","Confiance modérée","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/17 8:44:00 PM UTC+2","Femme","40-55 ans","Baccalauréat","Non","","6","Oui","Moral fluctuant et fatigue","6","1","7","1","6","1","8","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Ça dépend des situations","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","6","8","Non","Non","Non","6","Oui","Oui","7","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance"
"2021/03/17 8:51:04 PM UTC+2","Homme","30-39 ans","Master 2","Non","","8","Non","","10","7","10","6","8","5","7","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","5","10","Non","Non","Non","5","Oui","Non","3","Confiance modérée","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/17 8:55:20 PM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Je vis avec ma sœur et nous ne l’avons pas eu. Avons été une fois cas contact. ","","0","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","10","7","4","10","10","6","10","1 an (Pas avant 2022)","Souvent","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","10","10","Oui","Oui","Oui","0","Oui","Non","10","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/17 9:13:10 PM UTC+2","Homme","30-39 ans","Master 2","Non","","8","Non","","10","7","10","6","8","5","7","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","5","10","Non","Non","Non","5","Oui","Non","3","Confiance modérée","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/18 1:20:08 AM UTC+2","Homme","30-39 ans","Master 2","Ma tante, mais rester en quarantaine loin de moi donc pas d'impact direct sur mon quotidien..","4","10","Oui","Déprime/baisse de morale;Baisse de productivité","9","5","2","3","2","8","9","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Rarement","Souvent","Rarement","Souvent","Systématiquement","Systématiquement","0","0","Non","Non","Non","9","Oui","Non","0","Aucune confiance","Aucune confiance","Confiance absolue","Faible confiance","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/18 9:17:16 AM UTC+2","Homme","20-29 ans","Master 2","Non","","3","Non","","4","2","5","2","0","8","2","6 mois (Septembre 2021)","Ça dépend des situations","Systématiquement","Souvent","Souvent","Jamais","Rarement","Rarement","Rarement","Rarement","Systématiquement","10","10","Oui","Oui","Oui","1","Non","Non","10","Aucune confiance","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Aucune confiance","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée"
"2021/03/18 1:06:55 PM UTC+2","Femme","20-29 ans","Master 2","Non, forte suspicions mais PCR négatif","","4","Oui","Déprime/baisse de morale;Baisse de productivité","9","1","7","3","7","3","10","2 ans (Pas avant 2023)","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Rarement","Souvent","Systématiquement","Systématiquement","Rarement","Systématiquement","10","10","Non","Oui","Oui","3","Oui","Oui","10","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance"
"2021/03/18 4:08:40 PM UTC+2","Homme","20-29 ans","Master 2","mes parents","2","8","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","8","5","4","8","8","4","7","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Rarement","Systématiquement","Souvent","Systématiquement","Systématiquement","Systématiquement","10","10","Oui","Non","Non","1","Oui","Non","10","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/18 4:36:13 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","non","","3","Oui","Stress;Déprime/baisse de morale","6","4","5","7","7","5","8","2 ans (Pas avant 2023)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","7","8","Non","Oui","Non","6","Oui","Non","6","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Aucune confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/18 5:40:20 PM UTC+2","Femme","20-29 ans","Master 2","oui, parents + belle-famille","3","9","Oui","Anxiété;Stress;Déprime/baisse de morale;agacement impulsivité","10","4","1","2","2","9","5","2 ans (Pas avant 2023)","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Rarement","Souvent","Souvent","Rarement","Souvent","Systématiquement","10","10","Oui","Oui","Non","2","Oui","Non","0","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance"
"2021/03/18 5:47:58 PM UTC+2","Femme","20-29 ans","Master 2","Non","","10","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","6","2","3","0","3","0","3","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Rarement","Systématiquement","Souvent","Systématiquement","Systématiquement","Systématiquement","5","10","Oui","Oui","Non","8","Oui","Non","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/18 7:49:35 PM UTC+2","Femme","56- 65 ans","Master 2","Non","","2","Non","","3","6","8","6","8","7","8","2 ans (Pas avant 2023)","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Souvent","Systématiquement","Souvent","Systématiquement","7","10","Oui","Oui","Oui","3","Oui","Non","9","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/18 11:14:02 PM UTC+2","Femme","30-39 ans","Master 2","Non","","2","Non","","2","7","9","8","10","2","7","Elle va menacer pendant longtemps","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Jamais","Systématiquement","Souvent","Systématiquement","Systématiquement","Systématiquement","0","0","Non","Non","Non","10","Non","Oui","0","Faible confiance","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/19 12:57:05 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","5","Oui","Anxiété;Déprime/baisse de morale;Baisse de productivité","5","3","3","3","4","7","10","2 ans (Pas avant 2023)","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Rarement","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Systématiquement","0","0","Non","Non","Non","10","Oui","Oui","0","Aucune confiance","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance absolue","Confiance absolue","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée"
"2021/03/19 1:55:47 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","10","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","9","0","2","0","5","3","5","1 an (Pas avant 2022)","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","0","0","Oui","Oui","Non","8","Non","Oui","0","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/19 9:19:28 AM UTC+2","Femme","20-29 ans","Master 2","Oui","4","2","Oui","Déprime/baisse de morale","8","8","9","8","8","10","10","2 ans (Pas avant 2023)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Systématiquement","Souvent","Systématiquement","Systématiquement","Systématiquement","1","0","Non","Non","Non","10","Oui","Oui","0","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/19 9:27:03 AM UTC+2","Homme","20-29 ans","Master 2","Ma belle-mère ","1","4","Oui","Anxiété;Déprime/baisse de morale","7","3","3","5","6","6","7","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","Systématiquement","5","7","Oui","Oui","Non","1","Oui","Oui","9","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance absolue","Faible confiance","Confiance modérée","Confiance absolue","Aucune confiance","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/19 10:05:05 AM UTC+2","Femme","20-29 ans","DEUG, BTS, DUT, DEUST","Non","","8","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","9","5","8","5","6","5","8","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Souvent","Rarement","Systématiquement","Souvent","Systématiquement","Systématiquement","Systématiquement","6","8","Oui","Oui","Non","5","Oui","Oui","3","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/19 10:21:28 AM UTC+2","Femme","30-39 ans","Master 2","Non","","5","Oui","Stress","4","5","7","7","7","9","8","3 mois (Juin 2021)","Jamais","Systématiquement","Systématiquement","Rarement","Jamais","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","0","0","Oui","Non","Oui","10","Oui","Oui","0","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée"
"2021/03/19 10:31:23 AM UTC+2","Homme","20-29 ans","Master 2","J'ai été plusieurs fois cas contact sans jamais l'avoir (via amis)","1","8","Oui","Enervement, incompréhension, besoin de souffler ","8","0","1","0","4","8","7","1 an (Pas avant 2022)","Jamais","Ça dépend des situations","Systématiquement","Rarement","Rarement","Souvent","Jamais","Jamais","Systématiquement","Jamais","0","0","Non","Non","Oui","8","Oui","Oui","0","Aucune confiance","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance","Faible confiance","Confiance modérée","Aucune confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance absolue"
"2021/03/19 11:00:03 AM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Oui une fois je l’ai attrapé ","1","3","Oui","Anxiété;Stress;Décrochage scolaire","6","4","4","3","3","5","3","9 mois (Décembre 2021)","Ça dépend des situations","Souvent","Rarement","Rarement","Jamais","Rarement","Rarement","Souvent","Jamais","Souvent","1","9","Non","Non","Non","8","Oui","Oui","2","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance"
"2021/03/19 12:15:31 PM UTC+2","Femme","40-55 ans","Master 2","Non","","4","Oui","Sentiment de déconnexion par rapport à la ""vraie"" vie","6","7","6","8","8","5","8","9 mois (Décembre 2021)","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Systématiquement","9","10","Non","Oui","Oui","2","Non","Oui","8","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/19 12:45:55 PM UTC+2","Homme","20-29 ans","DEUG, BTS, DUT, DEUST","Non","","7","Oui","Anxiété;Déprime/baisse de morale;J'ai la haine","9","0","2","1","1","5","4","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Souvent","Souvent","Rarement","7","7","Non","Non","Non","0","Oui","Oui","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance absolue","Aucune confiance","Confiance absolue","Aucune confiance","Faible confiance","Confiance absolue","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/19 12:53:25 PM UTC+2","Homme","20-29 ans","Master 2","non","","3","Oui","Stress;Déprime/baisse de morale","5","7","7","7","9","2","10","6 mois (Septembre 2021)","Systématiquement","Systématiquement","Systématiquement","Souvent","Systématiquement","Souvent","Rarement","Rarement","Systématiquement","Systématiquement","10","10","Oui","Oui","Non","0","Oui","Non","10","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/19 1:54:19 PM UTC+2","Femme","20-29 ans","Master 2","non","","5","Oui","Anxiété;Stress;Baisse de productivité","7","5","3","5","6","2","9","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Souvent","Souvent","Systématiquement","8","10","Oui","Oui","Oui","7","Oui","Oui","7","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/19 2:43:45 PM UTC+2","Homme","30-39 ans","Master 2","Non","","6","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","8","3","3","3","4","9","7","1 an (Pas avant 2022)","Jamais","Systématiquement","Systématiquement","Souvent","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","10","10","Non","Non","Oui","0","Non","Oui","10","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Faible confiance"
